city_name,state,avg_temp,avg_temp_by_daytime
Houghton,Michigan,-3.5685714285714285,-3.4489285714285711
Duluth,Minnesota,-4.2014285714285711,-4.1225
Great Falls,Montana,0.044285714285714706,-0.88535714285714273
Glasgow,Montana,-3.9671428571428566,-3.3600000000000003
Grand Island,Nebraska,-2.2535714285714286,-2.4717857142857143
Omaha,Nebraska,-1.5192857142857141,-1.92
Fargo,North Dakota,-5.5014285714285718,-5.5721428571428575
Bismarck,North Dakota,-4.7992857142857144,-5.0167857142857146
Portland,Oregon,6.2700000000000005,6.1210714285714287
Sioux Falls,South Dakota,-4.168571428571429,-4.0453571428571422
Aberdeen,South Dakota,-5.2992857142857135,-5.0910714285714276
